method,donor_id,surplus_kg,allocated_kg,waste_kg,meals_served,ngo_id,distance_km,paps_score,time_to_expiry
PAPS,D05549,27.063198790716584,27.063198790716584,0.0,67.65799697679145,NGO_037,0.8849146493400004,0.99469051210396,2.1112340884990513
PAPS,D07016,12.234340793687009,12.234340793687009,0.0,30.58585198421752,NGO_274,2.557901238116956,0.9846525925712983,10.171956841241052
PAPS,D11704,26.096796853469808,26.096796853469808,0.0,65.24199213367451,NGO_171,3.867703060353454,0.9767937816378793,8.678576050380464
PAPS,D06230,25.10771009905487,25.10771009905487,0.0,62.769275247637175,NGO_326,4.471559642475703,0.9731706421451458,5.553724967531684
PAPS,D16484,22.44667328877115,22.44667328877115,0.0,56.11668322192788,NGO_150,4.079160539435947,0.9755250367633843,3.917845877338925
PAPS,D21963,18.30530930026128,18.30530930026128,0.0,45.76327325065319,NGO_198,6.998744987892214,0.9580075300726467,7.401842742458047
PAPS,D15971,13.72634280014784,13.72634280014784,0.0,34.3158570003696,NGO_186,3.536525428265713,0.8393904237152028,17.086555262600307
PAPS,D23152,21.00882543129781,21.00882543129781,0.0,52.52206357824453,NGO_419,0.8445730320214873,0.994932561807871,7.171246912332084
PAPS,D04708,10.920157058993176,10.920157058993176,0.0,27.30039264748294,NGO_081,9.576862529886593,0.9425388248206805,10.300649947893858
PAPS,D01841,25.610213223452202,25.610213223452202,0.0,64.0255330586305,NGO_074,0.5144317323940295,0.848456704802818,13.248303342322846
PAPS,D23740,3.0614616207945358,3.0614616207945358,0.0,7.653654051986339,NGO_071,3.351,0.839947,7.818073638068704
PAPS,D16619,12.625381765608635,12.625381765608635,0.0,31.563454414021585,NGO_308,0.42918784700452717,0.8487124364589864,17.54851332353537
PAPS,D23244,23.490972150476473,23.490972150476473,0.0,58.72743037619118,NGO_436,4.683364838826806,0.9718998109670391,17.39915671907378
PAPS,D28880,5.243433886697603,5.243433886697603,0.0,13.108584716744007,NGO_390,2.356633057283509,0.985860201656299,6.0285167332058265
PAPS,D13319,8.068449838542591,8.068449838542591,0.0,20.171124596356478,NGO_062,0.8011868413873973,0.9951928789516757,9.955976094278167
PAPS,D21483,16.302290802554538,16.302290802554538,0.0,40.755727006386344,NGO_109,4.3582090731192515,0.8369253727806423,6.814052957068315
PAPS,D07255,3.7070585320513225,3.7070585320513225,0.0,9.267646330128306,NGO_207,3.323,0.840031,6.557447910039482
PAPS,D23438,24.875390946003083,24.875390946003083,0.0,62.18847736500771,NGO_115,1.6886046252820954,0.8449341861241537,2.5901911576725247
PAPS,D01172,23.150733597772668,23.150733597772668,0.0,57.876833994431664,NGO_320,2.7203458026809493,0.9836779251839143,11.75302934367835
PAPS,D11473,3.639522413197668,3.639522413197668,0.0,9.098806032994169,NGO_284,1.4615488502192997,0.845615353449342,10.042864371661784
PAPS,D25653,26.535632686899028,26.535632686899028,0.0,66.33908171724757,NGO_144,4.41632542234435,0.9735020474659339,2.8236600199998296
PAPS,D13146,9.437765349550414,9.437765349550414,0.0,23.594413373876034,NGO_173,1.9613913737854702,0.9882316517572871,6.458343427785783
PAPS,D27802,20.278397410346503,20.278397410346503,0.0,50.69599352586626,NGO_397,1.461416938259461,0.9912314983704433,16.53225417546646
PAPS,D10652,24.16302038509217,24.16302038509217,0.0,60.407550962730426,NGO_143,7.498304732365651,0.9550101716058061,5.832990250671559
PAPS,D28362,24.790026239669967,24.790026239669967,0.0,61.97506559917491,NGO_232,3.419126592338928,0.8397426202229832,4.3183179534595695
PAPS,D07141,23.823745598929047,23.823745598929047,0.0,59.55936399732261,NGO_377,2.139452469471491,0.8435816425915856,9.831244164441008
